distance,j2_value,spin_dot_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,spin_dot_values
1,0,-0.401984967281,-37.1940922223,0.968746186952,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.766145765781;-0.878109276295;-1.14196884632;-1.34683322906;-1.40737497807;-1.53900003433;-1.59668171406;-1.6719751358;-1.72100007534;-1.734375;-1.79974997044;-1.80270004272
1,0.0714285746217,-0.405930998302,-36.9761856962,0.970322872275,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.766083300114;-0.886406183243;-1.14049994946;-1.34537506104;-1.40564060211;-1.53712499142;-1.59170472622;-1.67827498913;-1.72275006771;-1.73653125763;-1.81187498569;-1.81215000153
1,0.142857149243,-0.40132108513,-37.1645722834,0.968855347974,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.766062498093;-0.87778121233;-1.13940632343;-1.34879159927;-1.4012812376;-1.54131257534;-1.59450006485;-1.6780500412;-1.72166669369;-1.74150002003;-1.79525005817;-1.8151499033
1,0.214285716414,-0.39302296978,-37.4405263544,0.967151218424,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.754270851612;-0.87527346611;-1.13840615749;-1.34079158306;-1.41520309448;-1.53206253052;-1.58781814575;-1.67235004902;-1.71341669559;-1.73596858978;-1.79475009441;-1.79444992542
1,0.285714298487,-0.375318405214,-37.9890170519,0.968810488659,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.748875081539;-0.8609765172;-1.12681257725;-1.33770847321;-1.40371859074;-1.53837490082;-1.59115898609;-1.65735006332;-1.71508312225;-1.74037492275;-1.78499996662;-1.78919994831
1,0.357142865658,-0.343502868459,-38.8368906827,0.963458365265,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.720104217529;-0.828093707561;-1.12343752384;-1.33529150486;-1.39335930347;-1.53106248379;-1.56879532337;-1.63987505436;-1.69825017452;-1.71956253052;-1.77275002003;-1.74720001221
1,0.428571432829,-0.364587060006,-35.6062338903,0.934094730668,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.676041603088;-0.786539077759;-1.08959376812;-1.32662498951;-1.38229691982;-1.45550000668;-1.49372720718;-1.57072508335;-1.62208330631;-1.62374985218;-1.69375002384;-1.73759996891
1,0.5,-0.431057788186,-34.0080063991,0.815088034199,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.65277081728;-0.78185158968;-1.1429374218;-1.41645824909;-1.45167195797;-1.49581241608;-1.50715911388;-1.50862503052;-1.49683332443;-1.50571882725;-1.56725013256;-1.59464991093
1,0.571428596973,-0.456570648723,-26.2319335839,0.818800011378,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.618020832539;-0.72215628624;-1.0591250658;-1.20691668987;-1.21420311928;-1.2745000124;-1.28529548645;-1.32299995422;-1.26475000381;-1.29225003719;-1.37674999237;-1.36154997349
1,0.642857134342,-0.360954445398,-23.374657127,0.851241420612,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.544750034809;-0.631968736649;-0.896874964237;-0.983916699886;-0.98981243372;-1.01406252384;-1.043659091;-1.05982506275;-1.09983336926;-1.10906255245;-1.23275005817;-0.981599986553
